date,open,high,low,close,sma20,sma50,sma100,sma200,ema8,ema12,ema21,ema55,ema200,RSI,newvalue
2017-08-17 04:00:00,4261.48000000,4349.99000000,4261.32000000,4349.99000000,,,,,,,,,,,bull
2017-08-17 08:00:00,4333.32000000,4485.39000000,4333.32000000,4427.30000000,,,,,,,,,,,bull
2017-08-17 12:00:00,4436.06000000,4485.39000000,4333.42000000,4352.34000000,,,,,,,,,,,bear
2017-08-17 16:00:00,4352.33000000,4354.84000000,4200.74000000,4325.23000000,,,,,,,,,,,bear
2017-08-17 20:00:00,4307.56000000,4369.69000000,4258.56000000,4285.08000000,,,,,,,,,,,bear
2017-08-18 00:00:00,4285.08000000,4340.62000000,4134.61000000,4292.39000000,,,,,,,,,,,bull
2017-08-18 04:00:00,4292.39000000,4340.62000000,4234.43000000,4300.25000000,,,,,,,,,,,bull
2017-08-18 08:00:00,4285.00000000,4371.52000000,4259.85000000,4340.31000000,,,,,4334.11125,,,,,,bull
2017-08-18 12:00:00,4320.52000000,4340.31000000,4193.70000000,4236.89000000,,,,,4312.506527777778,,,,,,bear
2017-08-18 16:00:00,4234.54000000,4297.75000000,4015.70000000,4136.28000000,,,,,4273.345077160494,,,,,,bear
2017-08-18 20:00:00,4135.00000000,4136.48000000,3938.77000000,4108.37000000,,,,,4236.683948902606,,,,,,bear
2017-08-19 00:00:00,4108.37000000,4184.69000000,4084.28000000,4138.55000000,,,,,4214.876404702027,4274.415,,,,,bull
2017-08-19 04:00:00,4138.50000000,4156.00000000,3933.21000000,4033.47000000,,,,,4174.563870323798,4237.346538461538,,,,,bear
2017-08-19 08:00:00,4033.47000000,4082.25000000,3850.00000000,3957.60000000,,,,,4126.349676918509,4194.308609467455,,,,,bear
2017-08-19 12:00:00,3945.12000000,4100.00000000,3928.89000000,3972.05000000,,,,,4092.0608598255076,4160.114977241693,,,,24.19429726334201,bull
2017-08-19 16:00:00,4036.19000000,4103.92000000,3953.40000000,4076.12000000,,,,,4088.5184465309503,4147.192673050663,,,,34.25635578165232,bull
2017-08-19 20:00:00,4088.71000000,4149.99000000,4051.47000000,4139.98000000,,,,,4099.95434730185,4146.083031042868,,,,39.55801403262183,bull
2017-08-20 00:00:00,4120.98000000,4139.98000000,4044.00000000,4094.62000000,,,,,4098.768936790328,4138.165641651658,,,,37.25961647756251,bear
2017-08-20 04:00:00,4094.62000000,4156.56000000,4081.19000000,4155.87000000,,,,,4111.458061948033,4140.889389089864,,,,42.14760050269131,bull
2017-08-20 08:00:00,4155.87000000,4211.08000000,4032.62000000,4106.53000000,4191.461,,,,4110.362937070692,4135.603329229885,,,,39.47932848800111,bear
2017-08-20 12:00:00,4106.53000000,4125.43000000,4063.35000000,4125.00000000,4180.211499999999,,,,4113.61561772165,4133.9720478099025,4188.29619047619,,,40.98547965167302,bull
2017-08-20 16:00:00,4125.00000000,4185.94000000,4091.59000000,4164.60000000,4167.0765,,,,4124.945480450172,4138.684040454533,4186.14199134199,,,44.19228108422397,bull
2017-08-20 20:00:00,4161.59000000,4171.62000000,4069.13000000,4086.29000000,4153.773999999999,,,,4116.355373683467,4130.623418846143,4177.0645375836275,,,39.60864722725715,bear
2017-08-21 00:00:00,4069.13000000,4119.62000000,4039.00000000,4084.76000000,4141.7505,,,,4109.3341795315855,4123.5675082544285,4168.673215985116,,,39.5223959263444,bull
2017-08-21 04:00:00,4079.26000000,4104.68000000,3953.40000000,4043.63000000,4129.678,,,,4094.7332507467886,4111.269430061439,4157.305650895561,,,37.178595719917915,bear
2017-08-21 08:00:00,4043.63000000,4088.12000000,4000.01000000,4023.11000000,4116.214,,,,4078.816972803058,4097.706440821218,4145.106046268691,,,36.030569567819946,bear
2017-08-21 12:00:00,4023.11000000,4023.11000000,3911.79000000,4022.00000000,4102.3015,,,,4066.190978846823,4086.0592960794925,4133.914587516992,,,35.96587322753643,bear
2017-08-21 16:00:00,4005.99000000,4042.11000000,3918.80000000,4027.05000000,4086.6385,,,,4057.492983547529,4076.980942836494,4124.199625015447,,,36.524303743759255,bull
2017-08-21 20:00:00,4027.05000000,4070.49000000,3950.00000000,4016.00000000,4075.594,,,,4048.272320536967,4067.599259323187,4114.363295468588,,,35.78884068250106,bear
2017-08-22 00:00:00,4016.00000000,4016.00000000,3688.97000000,3862.39000000,4061.8995000000004,,,,4006.9651381954186,4036.0286040426968,4091.456632244171,,,27.499124216596694,bear
2017-08-22 04:00:00,3863.00000000,3868.57000000,3400.00000000,3798.08000000,4046.3849999999998,,,,3960.5462185964366,3999.4211264976666,4064.786029312883,,,24.898872285682412,bear
