date,open,high,low,close,sma20,sma50,sma100,sma200,ema8,ema12,ema21,ema55,ema200,RSI,newvalue
2017-09-13,4159.72000000,4165.38000000,3760.00000000,3944.69000000,4388.264,,,,4209.983186293262,4259.960274771176,4276.302423982497,,,40.09404200177548,bear
2017-09-14,3944.00000000,3993.00000000,3165.13000000,3189.02000000,4333.681,,,,3983.102478228093,4095.2002324986875,4177.4585672568155,,,28.406972104525458,bear
2017-09-15,3188.01000000,3856.00000000,2817.00000000,3700.00000000,4301.808999999999,,,,3920.1908163996277,4034.4001967296585,4134.053242960741,,,40.94284848077143,bull
2017-09-16,3674.01000000,3950.00000000,3470.66000000,3714.95000000,4272.0560000000005,,,,3874.581746088599,3985.2540126174035,4095.952948146128,,,41.26688130528487,bull
2017-09-17,3685.23000000,3748.21000000,3499.02000000,3699.99000000,4237.721,,,,3835.7835802911327,3941.3672414454954,4059.95631649648,,,41.024313634242155,bull
2017-09-18,3690.00000000,4123.20000000,3690.00000000,4035.01000000,4210.097500000001,,,,3880.0561180042146,3955.77381968465,4057.6884695422546,,,48.346707764098774,bull
2017-09-19,4060.00000000,4089.97000000,3830.91000000,3910.04000000,4177.842500000001,,,,3886.719202892167,3948.737847425473,4044.2658814020497,,,46.049880555729544,bear
2017-09-20,3910.04000000,4046.08000000,3820.00000000,3900.00000000,4136.598,,,,3889.6704911383517,3941.239717052323,4031.150801274591,,,45.86137631324213,bear
2017-09-21,3889.99000000,3910.00000000,3567.00000000,3609.99000000,4075.3520000000003,,,,3827.5192708853847,3890.2782221211964,3992.8634557041732,,,40.68113886414492,bear
2017-09-22,3592.84000000,3750.00000000,3505.55000000,3595.87000000,4031.5385,,,,3776.041655133077,3844.9846494871663,3956.7731415492485,,,40.44162120031432,bull
2017-09-23,3595.88000000,3817.19000000,3542.91000000,3780.00000000,3995.0845,,,,3776.9212873257266,3834.987011104525,3940.702855953862,,,44.990038720070395,bull
2017-09-24,3779.54000000,3789.99000000,3622.76000000,3660.02000000,3973.0800000000004,,,,3750.943223475565,3808.0690093961366,3915.1862326853293,,,42.701643487855534,bear
2017-09-25,3660.02000000,3979.87000000,3653.69000000,3920.75000000,3950.7940000000003,,,,3788.678062703217,3825.4045464121155,3915.692029713936,,,48.796721480872286,bull
2017-09-26,3928.00000000,3976.99000000,3850.05000000,3882.35000000,3913.923,,,,3809.494048769169,3834.165385425636,3912.660936103578,,,47.98709177258222,bear
2017-09-27,3882.36000000,4249.94000000,3872.81000000,4193.00000000,3888.9924999999994,,,,3894.717593487131,3889.370710744769,3938.1463055487075,,,54.55605240332147,bull
