date,open,high,low,close,sma20,sma50,sma100,sma200,ema8,ema12,ema21,ema55,ema200,RSI,newvalue
2017-08-17 00:00:00,4261.48000000,4349.99000000,4261.32000000,4349.99000000,,,,,,,,,,,bull
2017-08-17 08:00:00,4333.32000000,4485.39000000,4333.32000000,4352.34000000,,,,,,,,,,,bull
2017-08-17 16:00:00,4352.33000000,4369.69000000,4200.74000000,4285.08000000,,,,,,,,,,,bear
2017-08-18 00:00:00,4285.08000000,4340.62000000,4134.61000000,4300.25000000,,,,,,,,,,,bull
2017-08-18 08:00:00,4285.00000000,4371.52000000,4193.70000000,4236.89000000,,,,,,,,,,,bear
2017-08-18 16:00:00,4234.54000000,4297.75000000,3938.77000000,4108.37000000,,,,,,,,,,,bear
2017-08-19 00:00:00,4108.37000000,4184.69000000,3933.21000000,4033.47000000,,,,,,,,,,,bear
2017-08-19 08:00:00,4033.47000000,4100.00000000,3850.00000000,3972.05000000,,,,,4204.805,,,,,,bear
2017-08-19 16:00:00,4036.19000000,4149.99000000,3953.40000000,4139.98000000,,,,,4190.399444444444,,,,,,bull
2017-08-20 00:00:00,4120.98000000,4156.56000000,4044.00000000,4155.87000000,,,,,4182.726234567901,,,,,,bull
2017-08-20 08:00:00,4155.87000000,4211.08000000,4032.62000000,4125.00000000,,,,,4169.898182441701,,,,,,bear
2017-08-20 16:00:00,4125.00000000,4185.94000000,4069.13000000,4086.29000000,,,,,4151.318586343545,4178.798333333333,,,,,bear
2017-08-21 00:00:00,4069.13000000,4119.62000000,3953.40000000,4043.63000000,,,,,4127.387789378313,4158.003205128205,,,,,bear
2017-08-21 08:00:00,4043.63000000,4088.12000000,3911.79000000,4022.00000000,,,,,4103.968280627577,4137.079635108481,,,,,bear
2017-08-21 16:00:00,4005.99000000,4070.49000000,3918.80000000,4016.00000000,,,,,4084.419773821449,4118.451998937945,,,,27.33109804933011,bull
2017-08-22 00:00:00,4016.00000000,4016.00000000,3400.00000000,3798.08000000,,,,,4020.788712972238,4069.163999101338,,,,20.727787329173673,bear
2017-08-22 08:00:00,3798.08000000,3990.12000000,3750.08000000,3858.23000000,,,,,3984.664554533963,4036.712614624209,,,,26.039421745291108,bull
2017-08-22 16:00:00,3858.23000000,4104.82000000,3853.47000000,4040.00000000,,,,,3996.9613201930824,4037.2183662204843,,,,39.28008172307302,bull
