date,open,high,low,close,sma20,sma50,sma100,sma200,ema8,ema12,ema21,ema55,ema200,RSI,newvalue
2017-08-17 00:00:00,4261.48000000,4328.69000000,4261.32000000,4315.32000000,,,,,,,,,,,bull
2017-08-17 06:00:00,4330.29000000,4485.39000000,4287.41000000,4427.30000000,,,,,,,,,,,bull
2017-08-17 12:00:00,4436.06000000,4485.39000000,4235.45000000,4289.24000000,,,,,,,,,,,bear
2017-08-17 18:00:00,4289.24000000,4369.69000000,4200.74000000,4285.08000000,,,,,,,,,,,bear
2017-08-18 00:00:00,4285.08000000,4340.62000000,4134.61000000,4313.56000000,,,,,,,,,,,bull
2017-08-18 06:00:00,4313.56000000,4371.52000000,4247.75000000,4340.31000000,,,,,,,,,,,bull
2017-08-18 12:00:00,4320.52000000,4340.31000000,4066.53000000,4193.35000000,,,,,,,,,,,bear
2017-08-18 18:00:00,4171.17000000,4297.75000000,3938.77000000,4108.37000000,,,,,4284.066250000001,,,,,,bear
2017-08-19 00:00:00,4108.37000000,4184.69000000,4027.83000000,4077.00000000,,,,,4238.051527777779,,,,,,bear
2017-08-19 06:00:00,4077.00000000,4082.25000000,3850.00000000,3957.60000000,,,,,4175.728966049383,,,,,,bear
2017-08-19 12:00:00,3945.12000000,4100.00000000,3928.89000000,4027.37000000,,,,,4142.760306927298,,,,,,bull
2017-08-19 18:00:00,4013.69000000,4149.99000000,4013.69000000,4139.98000000,,,,,4142.142460943454,4206.206666666668,,,,,bull
2017-08-20 00:00:00,4120.98000000,4142.16000000,4044.00000000,4117.41000000,,,,,4136.646358511575,4192.545641025642,,,,,bear
2017-08-20 06:00:00,4117.41000000,4211.08000000,4032.62000000,4106.53000000,,,,,4129.953834397892,4179.312465483235,,,,,bear
2017-08-20 12:00:00,4106.53000000,4150.00000000,4063.35000000,4129.00000000,,,,,4129.74187119836,4171.572086178122,,,,39.98753278019006,bull
2017-08-20 18:00:00,4129.32000000,4185.94000000,4069.13000000,4086.29000000,,,,,4120.085899820947,4158.451765227642,,,,38.10390383860923,bear
2017-08-21 00:00:00,4069.13000000,4119.62000000,4011.02000000,4016.90000000,,,,,4097.155699860737,4136.6745705772355,,,,35.2025736261101,bear
2017-08-21 06:00:00,4011.04000000,4088.12000000,3953.40000000,4023.11000000,,,,,4080.701099891684,4119.2030981807375,,,,35.67462515623171,bull
2017-08-21 12:00:00,4023.11000000,4029.06000000,3911.79000000,4016.20000000,,,,,4066.3675221379763,4103.356467691393,,,,35.36588909161027,bear
2017-08-21 18:00:00,3997.57000000,4070.49000000,3918.80000000,4016.00000000,4149.296,,,,4055.1747394406484,4089.917011123486,,,,35.356351647153204,bull
2017-08-22 00:00:00,4016.00000000,4016.00000000,3400.00000000,3626.99000000,4114.879500000001,,,,3960.0225751205044,4018.697470950642,4124.424285714286,,,22.593524661303192,bear
2017-08-22 06:00:00,3619.95000000,3920.31000000,3619.95000000,3866.48000000,4086.8385000000003,,,,3939.2353362048366,3995.279398496697,4100.974805194805,,,37.541497679127865,bull
2017-08-22 12:00:00,3866.48000000,3998.99000000,3786.81000000,3943.00000000,4069.5265,,,,3940.0719281593174,3987.23641411259,4086.613459268005,,,41.433108879181994,bull
2017-08-22 18:00:00,3944.00000000,4104.82000000,3944.00000000,4040.00000000,4057.2725,,,,3962.2781663461355,3995.3538888644994,4082.375872061823,,,46.02422445654054,bull
2017-08-23 00:00:00,4040.00000000,4127.99000000,4013.89000000,4053.18000000,4044.2535,,,,3982.478573824772,4004.2502136545763,4079.7217018743845,,,46.63634921760186,bull
2017-08-23 06:00:00,4064.00000000,4242.32000000,4035.32000000,4237.99000000,4039.1375,,,,4039.2588907526006,4040.2101807846416,4094.109728976713,,,54.43879866180376,bull
2017-08-23 12:00:00,4205.98000000,4265.80000000,4150.65000000,4166.27000000,4037.7835,,,,4067.4835816964674,4059.603999125466,4100.669753615194,,,51.303819719937884,bear
2017-08-23 18:00:00,4166.27000000,4191.71000000,4069.80000000,4114.01000000,4038.0654999999997,,,,4077.822785763919,4067.9741531061636,4101.88250328654,,,49.08565157864106,bear
2017-08-24 00:00:00,4147.00000000,4204.55000000,4085.01000000,4132.09000000,4040.8199999999997,,,,4089.8821667052703,4077.838129551369,4104.6286393514,,,49.89280951112278,bear
2017-08-24 06:00:00,4132.09000000,4250.94000000,4131.91000000,4202.00000000,4053.0399999999995,,,,4114.797240770766,4096.939955774235,4113.480581228546,,,52.99580073349516,bull
2017-08-24 12:00:00,4211.78000000,4250.90000000,4136.33000000,4188.18000000,4061.0805,,,,4131.104520599484,4110.976885655123,4120.271437480496,,,52.306216652697245,bear
2017-08-24 18:00:00,4188.18000000,4371.68000000,4179.22000000,4316.01000000,4069.882,,,,4172.1946271329325,4142.52044170818,4138.065852254997,,,57.77872621902163,bull
2017-08-25 00:00:00,4316.01000000,4370.00000000,4281.04000000,4281.04000000,4078.0635,,,,4196.382487770059,4163.831142983845,4151.063502049997,,,55.88942197704705,bear
2017-08-25 06:00:00,4294.79000000,4361.28000000,4267.50000000,4361.27000000,4090.8005000000003,,,,4233.02415715449,4194.206351755562,4170.173183681815,,,59.18674160979891,bull
2017-08-25 12:00:00,4361.27000000,4453.91000000,4261.13000000,4402.32000000,4104.4665,,,,4270.645455564603,4226.223836100859,4191.277439710741,,,60.80129021885732,bull
2017-08-25 18:00:00,4409.44000000,4449.44000000,4247.48000000,4280.68000000,4114.186,,,,4272.8753543280245,4234.6017074699585,4199.4049451915835,,,53.986075444220695,bear
2017-08-26 00:00:00,4280.71000000,4319.67000000,4228.99000000,4295.75000000,4128.128500000001,,,,4277.958608921796,4244.0091370899645,4208.163586537803,,,54.66407707280726,bull
2017-08-26 06:00:00,4307.72000000,4319.70000000,4260.88000000,4288.72000000,4141.409,,,,4280.350029161397,4250.887731383817,4215.486896852548,,,54.26240902293431,bear
2017-08-26 12:00:00,4288.72000000,4306.74000000,4212.41000000,4255.19000000,4153.3585,,,,4274.758911569976,4251.54961886323,4219.096269865952,,,52.28890626691406,bear
2017-08-26 18:00:00,4255.19000000,4367.00000000,4236.51000000,4337.44000000,4169.4305,,,,4288.688042332204,4264.763523653502,4229.854790787229,,,56.47109339849015,bull
2017-08-27 00:00:00,4332.51000000,4400.00000000,4293.42000000,4320.52000000,4204.107,,,,4295.761810702825,4273.3414430914245,4238.0970825338445,,,55.395355235214836,bear
2017-08-27 06:00:00,4314.90000000,4352.34000000,4285.56000000,4323.37000000,4226.9515,,,,4301.8969638799745,4281.038144154282,4245.849165939859,,,55.54895534848136,bull
2017-08-27 12:00:00,4340.00000000,4370.92000000,4285.54000000,4340.00000000,4246.8015,,,,4310.36430523998,4290.109198899777,4254.408332672599,,,56.49047176719657,stagnant
2017-08-27 18:00:00,4369.00000000,4386.79000000,4309.60000000,4310.01000000,4260.302000000001,,,,4310.285570742207,4293.1708606075035,4259.463029702362,,,54.25853004924564,bear
2017-08-28 00:00:00,4310.01000000,4330.36000000,4124.54000000,4169.01000000,4266.093500000001,,,,4278.890999466161,4274.0691897448105,4251.240027002147,,,45.213619893229726,bear
2017-08-28 06:00:00,4223.80000000,4365.40000000,4199.01000000,4308.00000000,4269.594,,,,4285.359666251458,4279.289314399455,4256.400024547406,,,53.45110649326721,bull
2017-08-28 12:00:00,4309.00000000,4370.45000000,4271.03000000,4324.67000000,4277.514,,,,4294.095295973357,4286.270958338,4262.606385952187,,,54.33788441557188,bull
2017-08-28 18:00:00,4324.64000000,4399.82000000,4290.18000000,4386.69000000,4291.148,,,,4314.671896868166,4301.7200416706155,4273.8867145019885,,,57.57603895147243,bull
2017-08-29 00:00:00,4353.65000000,4404.05000000,4314.35000000,4356.76000000,4302.3815,,,,4324.024808675241,4310.187727567444,4281.420649547263,,,55.529477601618424,bull
2017-08-29 06:00:00,4356.76000000,4417.61000000,4313.55000000,4368.50000000,4310.7065,4191.6412,,,4333.908184525188,4319.158846403222,4289.336954133875,,,56.18733045676293,bull
2017-08-29 12:00:00,4368.50000000,4625.85000000,4347.59000000,4555.55000000,4329.075,4196.4457999999995,,,4383.161921297368,4355.526716187342,4313.538140121705,,,65.05673254918165,bull
2017-08-29 18:00:00,4533.47000000,4624.99000000,4511.45000000,4587.48000000,4342.6485,4199.6494,,,4428.565938786842,4391.211836773904,4338.441945565186,,,66.31049468955527,bull
2017-08-30 00:00:00,4564.52000000,4625.00000000,4527.45000000,4590.49000000,4358.121,4205.6744,,,4464.549063500877,4421.870015731765,4361.35540505926,,,66.43276456623877,bull
2017-08-30 06:00:00,4590.49000000,4647.51000000,4416.01000000,4498.35000000,4364.975,4209.9398,,,4472.060382722904,4433.636167157648,4373.809459144782,,,59.33382349189053,bear
2017-08-30 12:00:00,4537.00000000,4600.00000000,4416.16000000,4600.00000000,4374.8589999999995,4215.6686,,,4500.491408784481,4459.230602979548,4394.3722355861655,4225.707818181819,,63.915044822019965,bull
2017-08-30 18:00:00,4590.01000000,4609.92000000,4516.87000000,4555.14000000,4388.582,4219.965200000001,,,4512.635540165707,4473.985894828848,4408.987486896514,4237.473253246754,,60.66689345773404,bear
2017-08-31 00:00:00,4555.14000000,4628.12000000,4555.14000000,4598.54000000,4403.721500000001,4228.069,,,4531.725420128883,4493.14806485518,4426.219533542286,4250.368494202227,,62.644772335861944,bull
2017-08-31 06:00:00,4600.00000000,4678.57000000,4572.64000000,4656.67000000,4422.119000000001,4239.035,,,4559.490882322465,4518.30528564669,4447.169575947532,4264.879262266433,,65.1710284168469,bull
2017-08-31 12:00:00,4674.97000000,4685.56000000,4631.41000000,4650.55000000,4441.887000000001,4250.505999999999,,,4579.726241806362,4538.65062631643,4465.658705406848,4278.653217185489,,64.675122798242,bear
2017-08-31 18:00:00,4683.90000000,4745.42000000,4650.56000000,4724.89000000,4461.2595,4265.8518,,,4611.984854738282,4567.302837652364,4489.225186733498,4294.59024514315,,67.87305801447509,bull
2017-09-01 00:00:00,4689.89000000,4767.00000000,4654.88000000,4664.14000000,4478.4405,4278.5872,,,4623.5748870186635,4582.2008626289235,4505.126533394089,4307.788450673752,,62.86460503408551,bear
2017-09-01 06:00:00,4664.14000000,4798.46000000,4656.30000000,4775.00000000,4501.022,4291.2876,,,4657.224912125627,4611.86226837832,4529.660484903718,4324.474577435403,,67.56782730300218,bull
2017-09-01 12:00:00,4775.00000000,4839.92000000,4725.81000000,4792.97000000,4523.6705,4304.7988000000005,,,4687.3904872088215,4639.724996320117,4553.597713548834,4341.20655681271,,68.2693540842148,bull
2017-09-01 18:00:00,4792.97000000,4885.55000000,4739.08000000,4834.91000000,4549.9155,4319.3664,,,4720.172601162417,4669.753458424714,4579.171557771667,4358.838822640828,,69.90549408022476,bull
2017-09-02 00:00:00,4796.16000000,4939.19000000,4473.35000000,4473.35000000,4565.1325,4326.2534,,,4665.323134237436,4639.537541743989,4569.55141615606,4362.928507546512,,47.27444725909763,bear
2017-09-02 06:00:00,4493.00000000,4780.00000000,4473.35000000,4630.01000000,4581.233,4337.1278,,,4657.475771073561,4638.071766091068,4575.047651050964,4372.467132276994,,54.19400147124279,bull
2017-09-02 12:00:00,4669.75000000,4675.00000000,4354.61000000,4530.01000000,4591.5,4347.39,,,4629.150044168326,4621.446879000135,4570.95331913724,4378.093663267101,,49.70941702831266,bear
2017-09-02 18:00:00,4554.98000000,4554.98000000,4286.87000000,4472.14000000,4595.7725,4356.3706,,,4594.258923242031,4598.476589923191,4561.970290124764,4381.452461007561,,47.27155543389047,bear
2017-09-03 00:00:00,4508.50000000,4714.76000000,4467.88000000,4675.12000000,4611.6905,4369.549,,,4612.228051410469,4610.267883781161,4572.2566273861485,4391.940587400149,,55.51275348738988,bull
2017-09-03 06:00:00,4684.90000000,4714.33000000,4456.80000000,4486.00000000,4617.5655,4378.949,,,4584.177373319253,4591.1497478148285,4564.415115805589,4395.299852135858,,47.987181296244984,bear
2017-09-03 12:00:00,4475.23000000,4557.25000000,4298.33000000,4476.13000000,4613.5945,4395.9318,,,4560.166845914975,4573.454401997163,4556.389196186899,4398.186643131005,,47.624320602198104,bull
2017-09-03 18:00:00,4500.00000000,4583.84000000,4425.46000000,4509.08000000,4609.6745,4408.783800000001,,,4548.814213489425,4563.550647843753,4552.088360169909,4402.147120162041,,49.01049673497816,bull
2017-09-04 00:00:00,4505.00000000,4527.49000000,4340.50000000,4402.00000000,4600.25,4417.9638,,,4516.188832713998,4538.696702021637,4538.443963790826,4402.141865870539,,44.855750510421835,bear
2017-09-04 06:00:00,4402.02000000,4493.15000000,4052.00000000,4153.00000000,4582.9825,4420.223800000001,,,4435.480203221999,4479.358747864462,4503.403603446206,4393.243942089448,,37.000818999131866,bear
2017-09-04 12:00:00,4153.00000000,4311.14000000,3972.52000000,3972.53000000,4551.6089999999995,4418.6108,,,4332.602380283777,4401.385094346852,4455.142366769278,4378.218444157682,,32.55157127722843,bear
2017-09-04 18:00:00,3972.53000000,4300.95000000,3972.51000000,4100.11000000,4528.8575,4415.8532000000005,,,4280.937406887382,4355.035079831952,4422.86669706298,4368.285999723479,,38.20832749428067,bull
2017-09-05 00:00:00,4106.97000000,4121.33000000,3603.00000000,3960.01000000,4496.931,4411.728,,,4209.620205356853,4294.2619906270365,4380.7888155118,4353.704714019069,,34.76067093120033,bear
2017-09-05 06:00:00,3966.83000000,4248.60000000,3960.01000000,4246.82000000,4476.4385,4414.3842,,,4217.886826388663,4286.963222838262,4368.609832283454,4349.887402804102,,45.58550837522867,bull
2017-09-05 12:00:00,4248.64000000,4337.70000000,4096.06000000,4322.47000000,4460.0345,4418.1918,,,4241.127531635627,4292.425803940067,4364.415302075868,4348.9082098468125,,48.03471021487029,bull
2017-09-05 18:00:00,4317.67000000,4484.99000000,4294.00000000,4366.47000000,4442.1135,4421.4812,,,4268.981413494376,4303.817218718518,4364.602092796244,4349.5354166379975,,49.45958669414702,bull
2017-09-06 00:00:00,4366.49000000,4522.81000000,4335.26000000,4416.17000000,4429.715,4426.041,,,4301.689988273404,4321.1022619925925,4369.290084360221,4351.91522318664,,51.09091654795863,bull
2017-09-06 06:00:00,4416.54000000,4597.79000000,4335.26000000,4548.13000000,4418.3715,4430.6834,,,4356.454435323759,4356.029606301425,4385.548258509292,4358.922893787118,,55.223518359891685,bull
2017-09-06 12:00:00,4544.59000000,4619.47000000,4422.28000000,4619.43000000,4409.6945,4437.4511999999995,,,4414.8934496962565,4396.552743793513,4406.810235008447,4368.226719009006,,57.32183802681637,bull
2017-09-06 18:00:00,4619.43000000,4662.87000000,4610.00000000,4619.77000000,4398.9375,4442.6212,,,4460.421571985978,4430.893860132973,4426.170213644043,4377.2104076158275,,57.33210628927652,bull
2017-09-07 00:00:00,4619.77000000,4661.93000000,4438.19000000,4519.48000000,4401.244000000001,4444.9644,,,4473.545667100205,4444.522497035592,4434.652921494584,4382.2914644866905,,53.26142210978044,bear
2017-09-07 06:00:00,4519.47000000,4649.92000000,4452.00000000,4613.94000000,4400.4405,4451.6296,,,4504.744407744603,4470.586728260885,4450.951746813258,4390.564626469309,,56.40133565312178,bull
2017-09-07 12:00:00,4616.79000000,4788.59000000,4587.65000000,4702.06000000,4409.043,4459.7558,,,4548.592317134691,4506.198000836133,4473.779769830235,4401.689461238262,,59.15786049709251,bull
2017-09-07 18:00:00,4711.25000000,4759.99000000,4586.13000000,4691.61000000,4420.0165,4467.8136,,,4580.374024438093,4534.72292378442,4493.582518027486,4412.043766194039,,58.68401686906937,bear
2017-09-08 00:00:00,4691.66000000,4735.39000000,4586.13000000,4622.00000000,4417.3605,4475.1498,,,4589.624241229628,4548.150166279125,4505.256834570442,4419.54220311568,,55.49528016422429,bear
2017-09-08 06:00:00,4608.00000000,4699.77000000,4587.08000000,4647.53000000,4425.437,4481.3516,,,4602.492187623044,4563.439371466952,4518.190758700402,4427.684624432977,,56.43035572454893,bull
2017-09-08 12:00:00,4653.92000000,4690.83000000,4028.93000000,4238.00000000,4413.5305,4479.7012,,,4521.493923706812,4513.371775856652,4492.71887154582,4420.910173560371,,41.40275962579282,bear
2017-09-08 18:00:00,4243.78000000,4334.15000000,4060.00000000,4282.80000000,4402.2165,4478.8898,,,4468.450829549743,4477.899194955628,4473.635337768927,4415.977667361786,,43.18520068948482,bull
2017-09-09 00:00:00,4282.80000000,4426.62000000,4150.06000000,4385.26000000,4401.3795,4479.795,,,4449.963978538689,4463.647011116301,4465.60121615357,4414.880607813151,,47.14510126069388,bull
2017-09-09 06:00:00,4380.01000000,4400.60000000,4262.75000000,4327.63000000,4410.111,4480.147400000001,,,4422.778649974536,4442.721317098409,4453.058378321427,4411.764514676967,,45.23533774131039,bear
2017-09-09 12:00:00,4331.82000000,4400.60000000,4210.01000000,4220.38000000,4422.503500000001,4481.1748,,,4377.801172202417,4408.51496062173,4431.905798474025,4404.929353438504,,41.838661401909285,bear
2017-09-09 18:00:00,4220.38000000,4300.00000000,4159.64000000,4258.81000000,4430.4385,4480.191,,,4351.3586894907685,4385.483428218387,4416.169816794568,4399.710805101415,,43.47647082670795,bull
2017-09-10 00:00:00,4258.81000000,4279.70000000,4027.28000000,4054.97000000,4435.186500000001,4474.7970000000005,,,4285.494536270598,4334.635208492482,4383.333469813244,4387.39863349065,,37.45213394021185,bear
2017-09-10 06:00:00,4047.49000000,4100.00000000,3801.00000000,4098.79000000,4427.785,4469.039000000001,,,4244.004639321576,4298.351330262869,4357.465881648403,4377.091182294555,,39.39624966519333,bull
2017-09-10 12:00:00,4069.43000000,4283.00000000,4043.17000000,4247.07000000,4424.015,4466.8452,,,4244.6858305834485,4290.461894837812,4347.429892407639,4372.447568641179,,45.562264359132556,bull
2017-09-10 18:00:00,4264.87000000,4282.57000000,4100.00000000,4130.37000000,4412.21,4462.0826,4326.8619,,4219.282312676016,4265.832372555072,4327.697174916036,4363.8019411897085,,41.94516894534595,bear
2017-09-11 00:00:00,4153.62000000,4334.43000000,4098.91000000,4162.01000000,4399.5019999999995,4454.211800000001,4325.3288,,4206.555132081346,4249.859699854292,4312.634704469124,4356.595086147219,,43.26036798303889,bull
2017-09-11 06:00:00,4162.49000000,4244.99000000,4115.05000000,4191.53000000,4381.6720000000005,4446.2928,4322.9711,,4203.216213841047,4240.885899876708,4301.625185881022,4350.699904499104,,44.52315308085351,bull
2017-09-11 12:00:00,4191.54000000,4313.18000000,4174.97000000,4200.00000000,4360.700500000001,4438.483,4322.0787,,4202.501499654148,4234.595761434138,4292.386532619111,4345.317765052708,,44.90205783344339,bull
2017-09-11 18:00:00,4200.00000000,4233.86000000,4158.84000000,4208.47000000,4340.135499999999,4432.6854,4321.3126,,4203.827833064337,4230.576413521194,4284.757756926464,4340.430344872254,,45.304363037790964,bull
2017-09-12 00:00:00,4208.60000000,4329.00000000,4201.90000000,4325.00000000,4330.4115,4427.1854,4321.427,,4230.754981272262,4245.103119133318,4288.416142660421,4339.879261126816,,50.64386149896808,bull
2017-09-12 06:00:00,4325.00000000,4394.59000000,4228.50000000,4340.10000000,4316.7195,4422.8846,4321.4249,,4255.053874322871,4259.718023882038,4293.114675145837,4339.8871446580015,,51.30720182210339,bull
2017-09-12 12:00:00,4343.01000000,4345.92000000,4200.00000000,4201.00000000,4291.6665,4414.9338,4321.5014,,4243.041902251121,4250.68448174634,4284.740613768943,4334.926889491644,,45.27116647120452,bear
2017-09-12 18:00:00,4201.00000000,4202.53000000,4040.80000000,4163.72000000,4265.272,4405.074799999999,4322.0549,,4225.414812861984,4237.305330708441,4273.738739789948,4328.812357724085,,43.78445447789186,bear
2017-09-13 00:00:00,4159.72000000,4165.38000000,3796.80000000,3939.90000000,4231.1669999999995,4390.861800000001,4320.6839,,4161.967076670432,4191.550664445604,4243.389763445408,4314.9226306625105,,36.11593254004472,bear
2017-09-13 06:00:00,3939.90000000,3991.01000000,3820.00000000,3832.00000000,4190.3904999999995,4373.004,4319.4279,,4088.641059632558,4136.2351776078185,4205.99069404128,4297.675393853136,,33.10568928133033,bear
2017-09-13 12:00:00,3831.01000000,3991.01000000,3760.00000000,3950.00000000,4175.9905,4358.7212,4318.6542,,4057.8319352697677,4107.583611822,4182.7188127648005,4285.258415501238,,39.08526493578702,bull
2017-09-13 18:00:00,3908.16000000,3991.01000000,3831.00000000,3944.69000000,4159.085,4342.115,4316.7013,,4032.689282987597,4082.5230561570775,4161.079829786182,4273.095257804765,,38.916681778883536,bull
2017-09-14 00:00:00,3944.00000000,3993.00000000,3800.00000000,3856.00000000,4132.622,4323.3756,4314.0872,,3993.4249978792423,4047.673355209835,4133.34529980562,4258.198998597452,,36.11479193865536,bear
2017-09-14 06:00:00,3860.00000000,3890.00000000,3418.00000000,3481.02000000,4090.2915000000003,4296.2978,4307.8321000000005,,3879.557220572744,3960.4959159467835,4074.0429998232908,4230.4426057904,,27.19859184216063,bear
2017-09-14 12:00:00,3481.02000000,3666.00000000,3325.27000000,3325.27000000,4045.536,4273.3362,4299.794800000001,,3756.3822826676897,3862.7688519549706,4005.9727271120823,4198.115012726457,,24.49367861178189,bear
2017-09-14 18:00:00,3334.94000000,3523.52000000,3165.13000000,3189.02000000,3992.0464999999995,4244.5164,4290.822099999999,,3630.301775408203,3759.1151824234366,3931.70429737462,4162.075905129083,,22.395418875186635,bear
2017-09-15 00:00:00,3188.01000000,3460.00000000,3152.01000000,3300.00000000,3954.298,4219.9162,4283.6530999999995,,3556.901380873047,3688.4820774352156,3874.2766339769273,4131.287479945901,,27.819405148026995,bull
2017-09-15 06:00:00,3300.00000000,3324.31000000,2817.00000000,2919.00000000,3895.3085,4188.8534,4272.612,,3415.1455184568144,3570.1002193682593,3787.4333036153885,4087.991498519262,,22.106927140530665,bear
2017-09-15 12:00:00,2870.90000000,3856.00000000,2870.90000000,3548.00000000,3860.3549999999996,4166.311000000001,4267.93,,3444.6687365775224,3566.7001856192965,3765.6666396503533,4068.70608785786,,42.93878732060931,bull
2017-09-15 18:00:00,3548.00000000,3799.90000000,3540.00000000,3700.00000000,3838.8365,4150.591,4264.77,,3501.4090173380728,3587.207849370174,3759.696945136685,4055.538013291508,,46.65180143286396,bull
2017-09-16 00:00:00,3674.01000000,3950.00000000,3658.04000000,3816.01000000,3821.5365000000006,4137.3886,4266.6602,,3571.320346818501,3622.4081802363007,3764.8163137606225,4046.98344138824,,49.36020906521129,bull
2017-09-16 06:00:00,3816.02000000,3850.00000000,3470.66000000,3630.06000000,3793.4630000000006,4119.8081999999995,4264.295999999999,,3584.3736030810564,3623.58538327687,3752.5657397823843,4032.093318481517,,45.383046395812194,bear
2017-09-16 12:00:00,3630.06000000,3800.00000000,3531.01000000,3617.01000000,3764.3135,4104.1084,4261.0361,,3591.6261357297108,3622.573785849659,3740.2424907112586,4017.2689142500344,,45.10835040455751,bear
2017-09-16 18:00:00,3626.48000000,3715.00000000,3600.60000000,3714.95000000,3739.6375,4095.3474,4257.7856,,3619.0314389008863,3636.785511103558,3737.9431733738716,4006.4718101696762,,47.66844823063404,bull
2017-09-17 00:00:00,3685.23000000,3709.94000000,3550.00000000,3557.75000000,3701.275,4087.0517999999997,4252.8313,,3605.413341367356,3624.6262017030103,3721.5619757944287,3990.4460312350448,,44.1122450562519,bear
2017-09-17 06:00:00,3557.01000000,3609.39000000,3499.02000000,3499.03000000,3659.2215000000006,4075.0302,4245.441699999999,,3581.772598841277,3605.3037091333163,3701.3317961767534,3972.895458690936,,42.8269843385783,bear
2017-09-17 12:00:00,3499.03000000,3731.00000000,3499.03000000,3690.02000000,3633.6724999999997,4069.6304,4240.6792,,3605.827576876549,3618.336984651268,3700.3034510697757,3962.792763737688,,48.12152777819227,bull
2017-09-17 18:00:00,3719.55000000,3748.21000000,3678.00000000,3699.99000000,3610.486,4058.6938,4236.539,,3626.752559792871,3630.898987012611,3700.274955517978,3953.4069507470563,,48.39020987050755,bear
2017-09-18 00:00:00,3690.00000000,3875.00000000,3690.00000000,3850.02000000,3605.9920000000006,4049.2448000000004,4233.7183,,3676.367546505566,3664.609912087594,3713.88814137998,3949.714559648947,,52.38643441772475,bull
2017-09-18 06:00:00,3850.04000000,4000.00000000,3810.00000000,3929.33000000,3610.8585000000007,4040.502,4230.9916,,3732.5814250598846,3705.3360794587334,3733.473764890891,3948.986539661485,,54.39667848803569,bull
2017-09-18 12:00:00,3932.98000000,4123.20000000,3890.00000000,3951.30000000,3610.9235,4031.2046,4228.6228,,3781.1855528243545,3743.176682618928,3753.2761499008097,3949.0691632450034,,54.96391671201181,bull
2017-09-18 18:00:00,3951.31000000,4085.00000000,3941.05000000,4035.01000000,3615.4395000000004,4020.9421999999995,4225.812800000001,,3837.590985530054,3788.07411606217,3778.888318091645,3952.138478843396,,57.15088668757403,bull
